"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Room","","","",""
“Spotlight”,”Tom McCarthy”,””,””,””
"Carol","Todd Haynes","","",""
“The Big Short”,””,””,””,””
"The Woman in Black 2: Angel of Death","Tom Harper","Phoebe Fox Jeremy Irvine Helen McCrory Adrian Rawlins Ned Dennehy","Horror","Relativity Media Sequel to The Woman in Black (2012)"
"Taken 3","Olivier Megaton","Liam Neeson Forest Whitaker Famke Janssen Maggie Grace","Action","20th Century Fox”
"Let's Kill Ward's Wife","Scott Foley","Scott Foley Patrick Wilson Donald Faison James Carpinello","Comedy","Well Go USA Entertainment"
"Match","Stephen Belber","Patrick Stewart Carla Gugino Matthew Lillard Rob Yang","Drama","IFC Films”
"Blackhat","Michael Mann","Chris Hemsworth Viola Davis Manny Montana Tang Wei","Action","Universal Pictures"
"Little Accidents","Sarah Colangelo","Elizabeth Banks Boyd Holbrook Chloë Sevigny Josh Lucas","Drama","Amplify Based on the short film of the same name"
"Paddington","Paul King","Ben Whishaw Hugh Bonneville Sally Hawkins Madeleine Harris Samuel Joslin Julie Walters Nicole Kidman","Children's film","StudioCanal”
"Spare Parts","Sean McNamara","George Lopez Jamie Lee Curtis Carlos PenaVega Esai Morales","Drama","Lions Gate Entertainment”
"The Wedding Ringer","Jeremy Garelick","Kevin Hart Josh Gad Olivia Thirlby Kaley Cuoco Alan Ritchson","Romantic comedy","Screen Gems"
"Vice","Brian A. Miller","Thomas Jane Bruce Willis Ambyr Childers Johnathon Schaech","Sci-fi","Lions Gate Entertainment"
"Veronika Decides to Die","Emily Young","Sarah Michelle Gellar Jonathan Tucker Erika Christensen Melissa Leo","Drama","Entertainment One Based on the novel of the same name"
"The Boy Next Door","Rob Cohen","Jennifer Lopez Ryan Guzman Kristin Chenoweth Hill Harper","Thriller","Universal Pictures"
"Cake","Daniel Barnz","Jennifer Aniston Sam Worthington Anna Kendrick Adriana Barraza","Drama","Freestyle Releasing"
"The Humbling","Barry Levinson","Al Pacino Greta Gerwig Kyra Sedgwick Dan Hedaya","Drama","Millennium Films Based on the novel of the same name by Philip Roth"
"Mortdecai","David Koepp","Johnny Depp Gwyneth Paltrow Ewan McGregor Olivia Munn","Comedy","Lions Gate Entertainment Based on the book of the same name by Kyril Bonfiglioli"
"Song One","Kate Barker-Froyland","Anne Hathaway Mary Steenburgen Crystal Lonneberg Stefano Villabona","Drama","Cinedigm”
"Strange Magic","Gary Rydstrom","Alan Cumming Evan Rachel Wood Kristin Chenoweth Maya Rudolph","Animation Fantasy","Walt Disney"
"We'll Never Have Paris","Simon Helberg","Simon Helberg Melanie Lynskey Maggie Grace Zachary Quinto","Romantic comedy","Orion Pictures"
"Black or White","Mike Binder","Kevin Costner Octavia Spencer Bill Burr Mpho Koaho","Drama","Relativity Media"
"The Loft","Erik Van Looy","Karl Urban Wentworth Miller James Marsden","Mystery","Open Road Films"
"Project Almanac","Dean Israelite","Sofia Black D'Elia Jonny Weston Allen Evangelista Virginia Gardner","Thriller","Paramount Pictures"
"Wild Card","Simon West","Jason Statham Michael Angarano Stanley Tucci Sofia Vergara","Drama","Lions Gate Entertainment Based on the novel Heat by William Goldman"
"3 Nights in the Desert","Gabriel Cowan","Wes Bentley Vincent Piazza Amber Tamblyn","Drama","Monterey Media"
"Enter the Dangerous Mind","Victor Teran","Jake Hoffman Nikki Reed Scott Bakula Gina Rodriguez","Thriller","Well Go USA Entertainment"
"Jupiter Ascending","The Wachowskis","Channing Tatum Mila Kunis Sean Bean Eddie Redmayne","Sci-fi","Warner Bros. Pictures"
"Love Rosie","Christian Ditter","Lily Collins Sam Claflin","Romantic comedy","Lionsgate"
"Seventh Son","Sergei Bodrov","Jeff Bridges Alicia Vikander Ben Barnes Kit Harington","Fantasy","Universal Pictures Based on the novel The Spook's Apprentice by Joseph Delaney"
"The SpongeBob Movie: Sponge Out of Water","Paul Tibbitt","Antonio Banderas Tom Kenny Clancy Brown Rodger Bumpass","Animated Adventure","Paramount Pictures"
"The Voices","Marjane Satrapi","Ryan Reynolds Anna Kendrick Gemma Arterton Jacki Weaver","Comedy","Lions Gate Entertainment"
"Accidental Love","David O. Russell","Jessica Biel Catherine Keener James Marsden Tracy Morgan","Comedy","Millennium Entertainment”
"Da Sweet Blood of Jesus","Spike Lee","Felicia Pearson Zaraah Abrahams Elvis Nolasco Steven Hauck","Horror comedy","Gravitas Ventures"
"Fifty Shades of Grey","Sam Taylor-Johnson","Jamie Dornan Dakota Johnson Rita Ora Luke Grimes Marcia Gay Harden","Romance Thriller","Universal Pictures Based on the novel of the same name by E. L. James"
"Kingsman: The Secret Service","Matthew Vaughn","Samuel L. Jackson Colin Firth Taron Egerton Mark Strong","Action","20th Century Fox Based on the comic book The Secret Service by Dave Gibbons"
"The Last 5 Years","Richard LaGravenese","Anna Kendrick Jeremy Jordan Natalie Knepp Betsy Wolfe","Comedy-drama","The Weinstein Company Based on the novel of the same name by Jason Robert Brown"
"The Duff","Ari Sandel","Mae Whitman Robbie Amell Bella Thorne Bianca A. Santos","Comedy","Lions Gate Entertainment Based on the novel of the same name by Kody Keplinger"
"Hot Tub Time Machine 2","Steve Pink","Craig Robinson Rob Corddry Clark Duke Chevy Chase","Comedy","Paramount Pictures Sequel to Hot Tub Time Machine (2010)"
"McFarland, USA","Niki Caro","Kevin Costner Maria Bello Morgan Saylor Carlos Pratts","Drama","Walt Disney Pictures"
"Everly","Joe Lynch","Salma Hayek Akie Kotabe Laura Cepeda Togo Igawa","Thriller","Dimension Films"
"Focus","Glenn Ficarra John Requa","Will Smith Margot Robbie Rodrigo Santoro","Romantic comedy-Drama","Warner Bros."
"The Lazarus Effect","David Gelb","Mark Duplass Evan Peters Oliva Wilde","Thriller","Relativity Media”
"Maps to the Stars","David Cronenberg","Julianne Moore Mia Wasikowska John Cusack Robert Pattinson","Drama","Focus Features"
"Out of the Dark","Lluís Quílez","Scott Speedman Stephen Rea Julia Stiles Pixie Davies","Thriller","Vertical Entertainment"
"Bad Asses on the Bayou","Craig Moss","Danny Trejo Danny Glover John Amos Loni Love","Action","Samuel Goldwyn Films Sequel to Bad Asses (2014)"
"Chappie","Neill Blomkamp","Sharlto Copley Dev Patel Watkin Tudor Jones Yolandi Visser","Sci-Fi","Columbia Pictures Based on the short film Tetra Vaal"
"Road Hard","Adam Carolla","Adam Carolla David Koechner Diane Farr Jay Mohr David Alan Grier","Comedy","FilmBuff"
"The Second Best Exotic Marigold Hotel","John Madden","Judi Dench Maggie Smith Bill Nighy","Comedy-drama","Fox Searchlight Pictures"
"Unfinished Business","Ken Scott","Vince Vaughn Dave Franco Sienna Miller Nick Frost","Comedy","20th Century Fox"
"Cinderella","Kenneth Branagh","Lily James Richard Madden Cate Blanchett Helena Bonham Carter Holliday Grainger","Romance","Walt Disney Pictures Live action re-image of the 1950s film."
"The Cobbler","Thomas McCarthy","Adam Sandler Dustin Hoffman Dan Stevens Steve Buscemi","Comedy-drama","Image Entertainment"
"Cymbeline","Michael Almereyda","Ed Harris Milla Jovovich Ethan Hawke John Leguizamo","Crime","Lions Gate Entertainment Based on the play of the same name by William Shakespeare"
"Home Sweet Hell","Anthony Burns","Patrick Wilson Katherine Heigl Jordana Brewster Jim Belushi","Comedy","Vertical Entertainment"
"It Follows","David Robert Mitchell","Maika Monroe Keir Gilchrist Jake Weary Daniel Zovatto","Horror","RADiUS-TWC"
"Muck","Steve Wolsh","Kane Hodder Jaclyn Swedberg Lachlan Buchanan Bryce Draper","Horror","Anchor Bay Entertainment"
"Run All Night","Jaume Collet-Serra","Liam Neeson Ed Harris Joel Kinnaman Boyd Holbrook","Action","Warner Bros."
"Danny Collins","Dan Fogelman","Al Pacino Jennifer Garner Annette Bening Bobby Cannavale","Drama","Bleecker Films"
"The Divergent Series: Insurgent","Robert Schwentke","Shailene Woodley Theo James Octavia Spencer Naomi Watts","Action","Lions Gate Entertainment Based on the novel Insurgent by Veronica Roth Sequel to Divergent (2014)"
"Do You Believe","Jonathan M. Gunn","Ted McGinley Mira Sorvino Lee Majors Sean Astin Brian Bosworth","Christian Drama","Freestyle Releasing"
