"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"The Forest","Jason Zada","Natalie Dormer Taylor Kitsch","Thriller","Focus Features"
"Anesthesia","Tim Blake Nelson","Sam Waterston Tim Blake Nelson Kristen Stewart","Drama","IFC Films"
"Lamb","Ross Partridge","Ross Partridge Oona Laurence Jess Weixler","Drama","The Orchard Based on the novel of the same name by Bonnie Nadzam"
"Ride Along 2","Tim Story","Ice Cube Kevin Hart","Action-comedy","Universal Pictures Sequel to Ride Along (2014)"
"13 Hours: The Secret Soldiers of Benghazi","Michael Bay","James Badge Dale John Krasinski Max Martini","Action","Paramount Pictures Based on the novel 13 Hours by Mitchell Zuckoff"
"Norm of the North","Trevor Wall","Rob Schneider Heather Graham Ken Jeong","Animation Comedy","Lionsgate Films"
"The Benefactor","Andrew Renzi","Richard Gere Dakota Fanning Theo James","Drama","Samuel Goldwyn Films"
"Dirty Grandpa","Dan Mazer","Zac Efron Robert De Niro","Comedy","Lions Gate Entertainment"
"The 5th Wave","J Blakeson","Chloë Grace Moretz Liev Schreiber","Sci-fi","Columbia Pictures Based on the 2013 novel of the same name by Rick Yancey"
"The Boy","William Brent Bell","Lauren Cohan Rupert Evans","Horror Thriller",""
"Ip Man 3","Wilson Yip","Donnie Yen","Martial Arts","Third in the Ip Man film series Biography of the Wing Chun grandmaster Yip Man"
"Synchronicity","Jacob Gentry","Brianne Davis Chad McKnight Scott Poythress","Action","N/A"
"Kung Fu Panda 3","Jennifer Yuh Nelson Alessandro Carloni","Jack Black Angelina Jolie Dustin Hoffman Seth Rogen","Animation Martial Arts Action-comedy","20th Century Fox Sequel to the 2011 film Kung Fu Panda 2 and the third installment in the Kung Fu Panda franchise"
"The Finest Hours","Craig Gillespie","Chris Pine Casey Affleck","Drama","Walt Disney Pictures"
"Fifty Shades of Black","Michael Tiddes","Marlon Wayans Kali Hawk Mike Epps","Comedy","Parody of the 2015 erotic romantic drama Fifty Shades of Grey"
"Jane Got a Gun","Gavin O'Connor","Natalie Portman Joel Edgerton","Action Western",""
"Hail, Caesar!","Coen Brothers","Josh Brolin George Clooney","Comedy","Universal Pictures"
"Pride + Prejudice + Zombies","Burr Steers","Lily James Sam Riley Jack Huston Matt Smith","Comedy-horror","Based on the 2009 novel, Pride and Prejudice and Zombies by Seth Grahame-Smith that parodies the 1813 novel Pride and Prejudice by Jane Austen"
"The Choice","Ross Katz","Benjamin Walker Teresa Palmer","Romance","Based on the Nicholas Sparks' 2007 novel of the same name"
"Deadpool","Tim Miller","Ryan Reynolds T.J. Miller Morena Baccarin","Thriller","20th Century Fox Based on the Marvel Comics character of the same name"
"Zoolander 2","Ben Stiller","Ben Stiller Owen Wilson Penélope Cruz Kristen Wiig","Comedy","Sequel to the 2001 film Zoolander"
"How to Be Single","Christian Ditter","Dakota Johnson Rebel Wilson","Romantic-comedy","Based on the novel of the same name by Liz Tuccillo"
"Risen","Kevin Reynolds","Joseph Fiennes Tom Felton","Action Adventure",""
"The VVitch","Robert Eggers","Anya Taylor-Joy Ralph Ineson Kate Dickie","Horror","Directorial debut of Robert Eggers"
"Race","Stephen Hopkins","Stephan James Jason Sudeikis Jeremy Irons","Sports Drama","Biography of African American athlete Jesse Owens, who won a record-breaking four gold medals at the 1936 Berlin Olympic Games"
"Gods of Egypt","Alex Proyas","Nicolaj Coster-Waldau Gerard Butler Brenton Thwaites","Fantasy Action",""
"Triple 9","John Hillcoat","Casey Affleck Aaron Paul","Crime Thriller",""
"Eddie the Eagle","Dexter Fletcher","Taron Egerton Hugh Jackman Christopher Walken","Sports Dramedy","Biography of Eddie ""The Eagle"" Edwards, a British skier who in 1988 became the first competitor to represent Great Britain in Olympic ski jumping"
"Zootopia","Byron Howard Rich Moore","Ginnifer Goodwin Jason Bateman Idris Elba","Animation Adventure","Walt Disney Pictures"
"London Has Fallen","Babak Najafi","Gerard Butler Aaron Eckhart","Action Thriller","Sequel to Antoine Fuqua's 2013 film Olympus Has Fallen"
"Whiskey Tango Foxtrot","Glenn Ficarra John Requa","Tina Fey Martin Freeman","Dramedy","Biography based on the memoir The Taliban Shuffle: Strange Days in Afghanistan and Pakistan by Kim Barker"
"The Other Side of the Door","Johannes Roberts","Sarah Wayne Callies Jeremy Sisto","Horror",""
"10 Cloverfield Lane","Dan Trachtenberg","John Goodman Mary Elizabeth Winstead","Science fiction Psychological thriller","Second film in the Cloverfield franchise and a spiritual successor of the 2008 film Cloverfield"
"The Brothers Grimsby","Louis Leterrier","Sacha Baron Cohen Mark Strong Penélope Cruz","Action-comedy",""
"The Young Messiah","Cyrus Nowrasteh","Adam Greaves-Neal Sean Bean David Bradley","Drama",""
"The Perfect Match","Bille Woodruff","Terrence J Cassie Ventura","Romantic-comedy",""
"Hello, My Name Is Doris","Michael Showalter","Sally Field Max Greenfield","Romance Dramedy",""
"Miracles from Heaven","Patricia Riggen","Jennifer Garner Martin Henderson","Christian Drama",""
"The Divergent Series: Allegiant","Robert Schwentke","Shailene Woodley Theo James Miles Teller Ansel Elgort","Science fiction Adventure","First of two cinematic parts based on the novel Allegiant, the final book in the Divergent trilogy by Veronica Roth, and the third installment in The Divergent Series"
"The Bronze","Bryan Buckley","Melissa Rauch Thomas Middleditch","Comedy",""
"Midnight Special","Jeff Nichols","Michael Shannon Kirsten Dunst","Science fiction Drama Supernatural",""
"Batman v Superman: Dawn of Justice","Zack Snyder","Henry Cavill Ben Affleck Amy Adams","Action","Warner Bros. Sequel to Man of Steel (2013)"
"My Big Fat Greek Wedding 2","Kirk Jones","Nia Vardalos John Corbett","Romantic-comedy","Sequel to 2002's My Big Fat Greek Wedding"
"I Saw the Light","Marc Abraham","Tom Hiddleston Elizabeth Olsen Cherry Jones Bradley Whitford","Drama","Biography of country music legend Hank Williams and his first wife Audrey Williams Based on the book Hank Williams: The Biography by Colin Escott, George Merritt, and William (Bill) MacEwen"
"Everybody Wants Some!!","Richard Linklater","Will Brittain Blake Jenner Zoey Deutch Tyler Hoechlin","Sports Comedy","Spiritual sequel to Linklater's 1993 film Dazed and Confused"
"God's Not Dead 2","Harold Cronk","Melissa Joan Hart Jesse Metcalfe","Drama","Sequel to the 2014 film God's Not Dead"
"Meet the Blacks","Deon Taylor","Mike Epps Gary Owen","Comedy","Parody of the 2013 film The Purge"
"Miles Ahead","Don Cheadle","Don Cheadle Ewan McGregor","Musical drama","Based on the life of jazz musician Miles Davis Takes its title from Davis' 1957 album"
