"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"3 Chains o' Gold","Three directors","","Musical",""
"3 Ninjas Kick Back","Charles T. Kanganis","Victor Wong, Max Elliott Slade, Sean Fox, J. Evan Bonifant","Action, Family","Preceded by 3 Ninjas"
"8 Seconds","John G. Avildsen","Luke Perry, Stephen Baldwin, Cynthia Gibb","Biopic",""
"Above the Rim","Jeff Pollack","Duane Martin, Leon, Tupac Shakur","Drama",""
"Abraham","Joseph Sargent","Richard Harris, Barbara Hershey","Drama","TV"
"Ace Ventura: Pet Detective","Tom Shadyac","Jim Carrey, Courteney Cox, Sean Young, Tone Loc, Dan Marino","Comedy",""
“The Adventures of Priscilla Queen of the Desert”,””,””,””,””
"Africa: The Serengeti","George Casey","","Documentary",""
"The Air Up There","Paul Michael Glaser","Kevin Bacon","Comedy",""
"Airheads","Michael Lehmann","Brendan Fraser, Adam Sandler, Steve Buscemi","Comedy",""
"Alien Nation: Dark Horizon","Kenneth Johnson","Gary Graham, Eric Pierpoint","Drama","direct-to-TV"
"Amateur","Hal Hartley","Isabelle Huppert, Martin Donovan","Comedy, Drama",""
"Andre","George Miller","Keith Carradine, Tina Majorino","Family, Drama",""
"Angels in the Outfield","William Dear","Danny Glover, Tony Danza, Christopher Lloyd, Joseph Gordon-Levitt, Brenda Fricker, Jay O. Sanders","Comedy, Sports","remake of 1951 film"
"Angie","Martha Coolidge","Geena Davis, Stephen Rea, James Gandolfini, Aida Turturro","Drama",""
"Another Midnight Run","James Frawley","Christopher McDonald, Cathy Moriarty","Action","TV"
"Baby's Day Out","Patrick Read Johnson","Joe Mantegna, Lara Flynn Boyle, Joe Pantoliano, Brian Haley","Comedy","Written by John Hughes"
"Bad Girls","Jonathan Kaplan","Madeleine Stowe, Mary Stuart Masterson, Andie MacDowell, Drew Barrymore, Dermot Mulroney","Western",""
"Bar Girls","Marita Giovanni","","Drama",""
"Barcelona","Whit Stillman","Taylor Nichols, Mira Sorvino","Drama",""
"Beretta's Island","Michael Preece","Franco Columbu","Drama",""
"Beverly Hills Cop III","John Landis","Eddie Murphy, Judge Reinhold, Héctor Elizondo, Theresa Randle","Action, Comedy","2nd sequel to Beverly Hills Cop"
"The Birds II: Land's End","""Alan Smithee""","Brad Johnson, Chelsea Field","Thriller","TV; sequel to The Birds"
"Black Beauty","Caroline Thompson","Alan Cumming, Sean Bean","Family. Drama","based on novel by Anna Sewell"
"Blank Check","Rupert Wainwright","Brian Bonsall, Karen Duffy, Miguel Ferrer, James Rebhorn, Tone Loc, Jayne Atkinson, Michael Lerner","Comedy",""
"Blankman","Mike Binder","Damon Wayans, David Alan Grier, Robin Givens","Comedy","Columbia"
"Blind Justice","Richard Spence","Armand Assante, Elisabeth Shue","Drama",""
"Blink","Michael Apted","Madeleine Stowe, Aidan Quinn, James Remar, Laurie Metcalf","Thriller","New Line Cinema"
"Bloodfist V: Human Target","Jeff Yonis","Don Wilson","Martial arts","4th sequel to Bloodfist"
"Bloodlust: Subspecies III","","","Horror",""
"Blown Away","Stephen Hopkins","Jeff Bridges, Tommy Lee Jones, Suzy Amis, Lloyd Bridges, Forest Whitaker","Action","MGM"
"Blue Chips","William Friedkin","Nick Nolte, Mary McDonnell, Shaquille O'Neal, Alfre Woodard, Ed O'Neill, J. T. Walsh","Drama, Sports","written by Ron Shelton"
"Blue Sky","Tony Richardson","Jessica Lange, Tommy Lee Jones","Drama","Oscar for Lange"
"Brainscan","John Flynn","Edward Furlong, Frank Langella","Drama",""
"Breach of Conduct","","Peter Coyote","Drama","TV"
"Breathing Lessons","John Erman","James Garner, Joanne Woodward","Drama","based on novel by Anne Tyler"
"Bullets Over Broadway","Woody Allen","John Cusack, Jennifer Tilly, Dianne Wiest, Chazz Palminteri, Jim Broadbent, Rob Reiner, Mary-Louise Parker, Tracey Ullman, Joe Viterelli","Comedy","Oscar for Wiest"
"Cabin Boy","Adam Resnick","Chris Elliott, Andy Richter","Comedy",""
"Camp Nowhere","Jonathan Prince","Jonathan Jackson, Christopher Lloyd, Melody Kay, Andrew Keegan, Marnette Patterson, Jessica Alba","Family, Comedy",""
"Campground Massacre","Dustin J. Boes,","Walter Cherry, Wesley Shane Winter, Jeremy Winter, Dustin J. Boes, Mathew Vaughan, Janie Dull","Horror",""
"Cancer Wars","","","Documentary","direct-to-TV"
"Car 54, Where Are You?","Bill Fishman","John C. McGinley, David Johansen, Fran Drescher, Rosie O'Donnell, Nipsey Russell","Comedy","based on the TV series"
"Chariots of Fur","Chuck Jones","","","Animated, direct-to-TV"
"The Chase","Adam Rifkin","Charlie Sheen, Kristy Swanson","Comedy Action",""
"Chasers","Dennis Hopper","Tom Berenger, William McNamara, Erika Eleniak, Gary Busey","Comedy",""
"China Moon","John Bailey","Ed Harris, Madeleine Stowe, Benicio del Toro, Charles Dance","Crime drama",""
"Cinderella","","","","direct-to-video"
"City Slickers II: The Legend of Curly's Gold","Paul Weiland","Billy Crystal, Jack Palance, Jon Lovitz, Daniel Stern, Patricia Wettig","Comedy","sequel to City Slickers"
"Class of Nuke 'Em High 3: The Good, the Bad and the Subhumanoid","","","Science fiction","sequel"
"Clean, Shaven","Lodge Kerrigan","Peter Greene","Drama",""
"Clean Slate","Mick Jackson","Dana Carvey, Valeria Golino, James Earl Jones, Michael Gambon","Comedy",""
"Clear and Present Danger","Phillip Noyce","Harrison Ford, Willem Dafoe, Anne Archer, James Earl Jones, Donald Moffat, Harris Yulin, Joaquim de Almeida, Henry Czerny","Action, Drama","Based on novel by Tom Clancy"
"Clerks","Kevin Smith","Brian O'Halloran, Jeff Anderson","Comedy",""
"The Client","Joel Schumacher","Susan Sarandon, Tommy Lee Jones, Brad Renfro, Mary-Louise Parker, Anthony LaPaglia, J. T. Walsh","Crime drama","Based on novel by John Grisham"
"Clifford","Paul Flaherty","Martin Short, Charles Grodin, Mary Steenburgen, Dabney Coleman, Richard Kind","Comedy",""
"Cobb","Ron Shelton","Tommy Lee Jones, Robert Wuhl, Lolita Davidovich","Biography, Drama","Story of Ty Cobb"
"Color of Night","Richard Rush","Bruce Willis, Jane March, Rubén Blades, Lesley Ann Warren, Scott Bakula, Brad Dourif, Lance Henriksen, Kevin J. O'Connor","Thriller","Razzie award, Worst Picture"
"Confessions of a Sorority Girl","Uli Edel","","Drama","Rebel Highway TV series"
"The Cool Surface","Erik Anjou","Robert Patrick, Teri Hatcher","Drama",""
"Cool and the Crazy","Ralph Bakshi","Jennifer Blanc, Jared Leto","Drama","Rebel Highway TV series"
"Cops and Robbersons","Michael Ritchie","Chevy Chase, Jack Palance, Dianne Wiest, Jason James Richter","Comedy",""
"Corrina, Corrina","Jessie Nelson","Whoopi Goldberg, Ray Liotta, Tina Majorino","Comedy, drama",""
"The Cowboy Way","Gregg Champion","Woody Harrelson, Kiefer Sutherland, Dylan McDermott, Ernie Hudson","Comedy",""
"The Cremaster Cycle","","","Experimental",""
"Crooklyn","Spike Lee","Alfre Woodard, Delroy Lindo","Drama",""
"The Crow","Alex Proyas","Brandon Lee, Michael Wincott, Ernie Hudson","Action","Lee's last film"
"Crumb","Terry Zwigoff","R. Crumb","Documentary","Sundance Grand Jury winner"
"Cyborg 3: The Recycler","Michael Schroeder","Malcolm McDowell, Zach Galligan","Science fiction",""
"D2: The Mighty Ducks","Sam Weisman","Emilio Estevez, Joshua Jackson","Family","sequel to The Mighty Ducks"
"The Dallas Connection","Christian Drew Sidaris","Julie Strain","Action",""
"Deadly Target","Charla Driver","Gary Daniels, Ken McLeod, Max Gail","Action",""
"Death and the Maiden","Roman Polanski","Sigourney Weaver, Ben Kingsley, Stuart Wilson","Suspense","based on play by Ariel Dorfman"
"Death Wish V: The Face of Death","Allan Goldstein","Charles Bronson, Michael Parks","Drama","final Death Wish film"
"Disclosure","Barry Levinson","Michael Douglas, Demi Moore, Donald Sutherland, Caroline Goodall, Dennis Miller","Thriller","based on novel by Michael Crichton"
"Don't Drink the Water","Woody Allen","Woody Allen, Michael J. Fox","Comedy","Made-for-TV"
"Doomsday Gun","Robert Young","Frank Langella, Alan Arkin, Kevin Spacey","Drama","Made-for-TV"
"Double Dragon","James Yukich","Mark Dacascos, Scott Wolf, Robert Patrick, Alyssa Milano","Action","Based on video game"
"Dream Lover","Nicholas Kazan","James Spader, Mädchen Amick","Drama, Thriller",""
"Drop Zone","John Badham","Wesley Snipes, Gary Busey, Yancy Butler","Action",""
